Announced/Allocated,Obligated,State,Date
$4602130.51,$4602130.51,GA,31-Aug-24
$771869.49,$771869.00,SC,31-Aug-24
$4999771.06,$4999771.06,GA,31-Aug-24
$9993057.74,$9993057.74,No State Breakdown,31-Aug-24
$24369614.03,$24369614.03,No State Breakdown,31-Aug-24
$335895.00,$331775.00,FL,31-Aug-24
$2006269.25,$1723308.92,PR,31-Aug-24
$63268.00,$63267.70,TX,31-Aug-24
$58641.50,$57637.99,FL,31-Aug-24
$24390643.59,$24061980.89,PR,31-Aug-24
$283887.26,$283887.26,TX,31-Aug-24
$168588.84,$137471.96,FL,31-Aug-24
$168555.61,$152843.96,PR,31-Aug-24
$146213.94,$130242.99,TX,31-Aug-24
$21655.90,$21655.90,IN,31-Aug-24
$2839959.00,$2839959.00,DC,31-Aug-24
$802490.00,$802490.00,FL,31-Aug-24
$2034602.23,$2034581.48,LA,31-Aug-24
$24675706.63,$23539724.91,PR,31-Aug-24
$212937.18,$212937.18,SC,31-Aug-24
$6900.00,$6900.00,TN,31-Aug-24
$80632.51,$80632.51,TX,31-Aug-24
$2201705.37,$2201705.37,USVI,31-Aug-24
$370799.56,$340907.36,FL,31-Aug-24
$15782.25,$15782.25,GA,31-Aug-24
$1189.96,$1189.96,LA,31-Aug-24
$14874.51,$14874.51,MD,31-Aug-24
$1853658.76,$1853658.76,No State Breakdown,31-Aug-24
$7384628.40,$7357891.14,PR,31-Aug-24
$224680.25,$224680.25,TX,31-Aug-24
$4872194.32,$4382529.71,USVI,31-Aug-24
$2100000.00,$2090278.32,PR,31-Aug-24
$1687881.14,$1687881.00,No State Breakdown,31-Aug-24
$2200.00,$2200.00,No State Breakdown,31-Aug-24
$6963.23,$6963.23,DC,31-Aug-24
$194575.28,$194575.28,PR,31-Aug-24
$142094.41,$142094.41,AZ,31-Aug-24
$49448.31,$49448.31,CA,31-Aug-24
$466442.00,$466442.00,DC,31-Aug-24
$211862.21,$211862.21,FL,31-Aug-24
$2458.32,$2458.32,MI,31-Aug-24
$10023.22,$10023.22,ND,31-Aug-24
$514309.05,$135399.12,No State Breakdown,31-Aug-24
$5133789.87,$3145444.55,PR,31-Aug-24
$777459.57,$777459.57,TX,31-Aug-24
$45000000.00,$45000000.00,PR,31-Aug-24
$100000.00,$0.00,No State Breakdown,31-Aug-24
$3500000.00,$3424147.76,PR,31-Aug-24
$1933000.00,$1822497.77,No State Breakdown,31-Aug-24
$1790000.00,$1517647.92,USVI,31-Aug-24
$1150000.00,$1143804.25,PR,31-Aug-24
$840000.00,$831609.98,PR,31-Aug-24
$1992000.00,$998344.25,FL,31-Aug-24
$100000.00,$0.00,PR,31-Aug-24
$19500000.00,$19232583.80,PR,31-Aug-24
$28602000.00,$28587000.37,PR,31-Aug-24
$2150000.00,$2014925.63,No State Breakdown,31-Aug-24
$2300000.00,$1855666.34,PR,31-Aug-24
$4038000.00,$3799810.29,No State Breakdown,31-Aug-24
$381262.00,$377166.00,FL,31-Aug-24
$123350.00,$122024.00,LA,31-Aug-24
$89237829.00,$88204586.22,No State Breakdown,31-Aug-24
$11437872.00,$11314969.00,PR,31-Aug-24
$10955687.00,$10837965.00,TX,31-Aug-24
$358976.00,$354004.00,AL,31-Aug-24
$835.00,$824.00,KY,31-Aug-24
$50727.00,$50025.00,LA,31-Aug-24
$419699.00,$413887.00,NC,31-Aug-24
$48144534.00,$47492300.95,No State Breakdown,31-Aug-24
$2229.00,$2198.00,TN,31-Aug-24
$176329000.00,$170642353.86,FL,31-Aug-24
$30264000.00,$25501929.91,GA,31-Aug-24
$17085000.00,$17131982.24,NC,31-Aug-24
$81588397.00,$403252936.02,No State Breakdown,31-Aug-24
$328510000.00,$56986651.40,PR,31-Aug-24
$2150000.00,$1886340.78,SC,31-Aug-24
$61800000.00,$37475689.08,TX,31-Aug-24
$15068000.00,$626791.19,USVI,31-Aug-24
$2465000.00,$2077907.54,VA,31-Aug-24
$5000000.00,$2250549.00,AL,31-Aug-24
$68500000.00,$15097761.96,FL,31-Aug-24
$1700000.00,$244552.77,GA,31-Aug-24
$10000000.00,$949838.49,LA,31-Aug-24
$147400000.00,$12724166.26,NC,31-Aug-24
$98255000.00,$393706790.23,No State Breakdown,31-Aug-24
$139600000.00,$3825405.55,SC,31-Aug-24
$0.00,$0.00,No State Breakdown,31-Aug-24
$27150609.54,$27150609.54,No State Breakdown,31-Aug-24
$12592900.48,$12592900.48,TX,31-Aug-24
$898088.00,$898088.00,IA,31-Aug-24
$298795675.11,$298795675.11,USVI,31-Aug-24
$303748448.14,$303748448.14,PR,31-Aug-24
$138446.00,$138446.00,SC,31-Aug-24
$39443448.00,$39443448.00,FL,31-Aug-24
$93734930.00,$93734930.00,MP,31-Aug-24
$1851093.00,$1851093.00,CA,31-Aug-24
$362289.00,$362289.00,IA,31-Aug-24
$89666887.00,$89666887.00,PR,31-Aug-24
$946371.00,$946371.00,SC,31-Aug-24
$1402150.00,$1402150.00,OR,31-Aug-24
$18668594.00,$18668594.00,LA,31-Aug-24
$146301.00,$146301.00,CA,31-Aug-24
$715768.00,$715768.00,KY,31-Aug-24
$108366662.00,$108366662.00,PR,31-Aug-24
$2048123.00,$2048123.00,FL,31-Aug-24
$7962297.00,$7962297.00,MS,31-Aug-24
$6443411.14,$6443411.14,GA,31-Aug-24
$8816424.06,$8816424.06,MS,31-Aug-24
$1222106.20,$1222106.20,OR,31-Aug-24
$15844438.76,$15844438.76,GA,31-Aug-24
$4009881.47,$4009881.47,SD,31-Aug-24
$1347549.40,$1347549.40,OK,31-Aug-24
$5822168.97,$5822168.97,LA,31-Aug-24
$17536238.20,$17536238.20,CA,31-Aug-24
$179090.88,$179090.88,CA,31-Aug-24
$8952159.71,$8952159.71,NV,31-Aug-24
$2765710.70,$2765710.70,KS,31-Aug-24
$18068115.86,$18068115.86,CA,31-Aug-24
$230485.37,$230485.37,WY,31-Aug-24
$2610450.32,$2610450.32,NV,31-Aug-24
$80992177.22,$80992177.22,CA,31-Aug-24
$8948843.30,$8948843.30,WA,31-Aug-24
$4746735.15,$4746735.15,ID,31-Aug-24
$2650472.24,$2650472.24,UT,31-Aug-24
$184023.37,$184023.37,CA,31-Aug-24
$3084407.28,$3084407.28,ID,31-Aug-24
$2168182.25,$2168182.25,MS,31-Aug-24
$5559914.10,$5559914.10,OK,31-Aug-24
$277395.90,$277395.90,NH,31-Aug-24
$50780596.53,$50780596.53,MO,31-Aug-24
$14511048.34,$14511048.34,AR,31-Aug-24
$5802524.75,$5802524.75,KS,31-Aug-24
$2177271.65,$2177271.65,TN,31-Aug-24
$2077029.97,$2077029.97,NE,31-Aug-24
$3578661.42,$3578661.42,NY,31-Aug-24
$5464947.51,$5464947.51,ND,31-Aug-24
$2552131.36,$2552131.36,OK,31-Aug-24
$2340376.09,$2340376.09,NE,31-Aug-24
$4959201.84,$4959201.84,MI,31-Aug-24
$3536177.87,$3536177.87,WY,31-Aug-24
$937946.74,$937946.74,OR,31-Aug-24
$3294310.37,$3294310.37,NH,31-Aug-24
$3834034.74,$3834034.74,VT,31-Aug-24
$6624837.62,$6624837.62,WV,31-Aug-24
$1810850080.94,$1810850080.94,TX,31-Aug-24
$538739.24,$538739.24,ID,31-Aug-24
$2228407.06,$2228407.06,IA,31-Aug-24
$104158343.60,$104158343.60,USVI,31-Aug-24
$39854792.57,$39854792.57,PR,31-Aug-24
$988937048.37,$988937048.37,FL,31-Aug-24
$52509582.39,$52509582.39,GA,31-Aug-24
$3634231640.05,$3634231640.05,PR,31-Aug-24
$611772787.70,$611772787.70,USVI,31-Aug-24
$2490865.50,$2490865.50,FL,31-Aug-24
$1500862.71,$1500862.71,ID,31-Aug-24
$3481233.62,$3481233.62,WI,31-Aug-24
$64467691.65,$64467691.65,CA,31-Aug-24
$4852543.79,$4852543.79,LA,31-Aug-24
$9397082.81,$9397082.81,SC,31-Aug-24
$3869485.88,$3869485.88,KS,31-Aug-24
$5012694.62,$5012694.62,NY,31-Aug-24
$473165.81,$473165.81,AL,31-Aug-24
$1940134.07,$1940134.07,MS,31-Aug-24
$1217637.01,$1217637.01,AK,31-Aug-24
$270001.57,$270001.57,NM,31-Aug-24
$17090936.32,$17090936.32,CA,31-Aug-24
$10320386.72,$10320386.72,ME,31-Aug-24
$11551257.68,$11551257.68,NH,31-Aug-24
$1527238.61,$1527238.61,VT,31-Aug-24
$9719289.85,$9719289.85,AS,31-Aug-24
$5103015.72,$5103015.72,KY,31-Aug-24
$7777381.55,$7777381.55,WV,31-Aug-24
$17188020.06,$17188020.06,OH,31-Aug-24
$7652353.31,$7652353.31,KY,31-Aug-24
$7660905.30,$7660905.30,AL,31-Aug-24
$11471178.94,$11471178.94,IN,31-Aug-24
$997028.19,$997028.19,NC,31-Aug-24
$5054233.88,$5054233.88,HI,31-Aug-24
$22446557.75,$22446557.75,HI,31-Aug-24
$2749452.62,$2749452.62,ME,31-Aug-24
$9867539.60,$9867539.60,NJ,31-Aug-24
$587358.54,$587358.54,AK,31-Aug-24
$801803.94,$801803.94,NH,31-Aug-24
$1297195.12,$1297195.12,NH,31-Aug-24
$9923028.62,$9923028.62,MA,31-Aug-24
$310584.76,$310584.76,OK,31-Aug-24
